Account number,City,Country,Region,C40_Status,VA_Year,Climate change risk or vulnerability assessment done?,EMCoal,EMGas,EMOil,EMNuclear,EMHydro,EMBiomass,EMWind,EMGeothermal,EMSolar,EMOther sources,Percentage Renewable,EmYear,EmYearReported,City-wide emissions inventory,EmissionsAccountingYear,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TotalEmissions,Change in emissions,Primary reason for the change in emissions,Land area (in square km), Population,PopulationDensity,Population Year,City Location,WellBeing,WaterSupplyRisk,Timescale,Magnitude
63999,"City of Miami Beach, FL",USA,North America,,2017,In progress,3.6,69.8,0.5,21.7,0,0,0,0,0.4,4,0.26,2017,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",,316878.7,,729150,,156635,1202663.7,Stayed the same,Emissions have not changed,18.13,91826,5064.86,2018,POINT (-80.13 25.7906),7.028,Inadequate or aging infrastructure,Medium-term,Serious
36223,Antananarivo,Madagascar,Africa,,2017,In progress,,,80,0,20,0,0,0,0,,0.2,2019,2021,Not intending to undertake,,,,,,,,,0,,,85.01,1275000,14998.2355,2018,POINT (47.5079 -18.8792),4.348,Declining water quality,Short-term,Extremely serious
8242,City of Helsinki,Finland,Europe,,2017,In progress,7.5,5.9,0.3,34.7,18.6,18.1,9.1,0,0.3,5.5,0.86,2019,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",3233000,824063,,1785915,,,5842978,Increased,Change in weather conditions,214.25,655395,3059.02,2020,POINT (24.941 60.1733),7.828,Declining water quality,Long-term,Less serious
35885,Tel Aviv-Yafo Municipality,Israel,South and West Asia,,2017,Yes,25,70,,,,,0.7,,4.3,,0.05,2019,2021,Yes,2017-01-01 - 2017-12-31,"CH4, CO2, N20",,,,,,,0,Increased,Population increase,52,460600,8857.69,2019,POINT (34.7823 32.0816),7.461,#N/A,#N/A,#N/A
36039,Accra Metropolitan Assembly,Ghana,Africa,C40,2017,No,,,,,,,,,,,0,,2021,Yes,2015-01-01 - 2015-12-31,"CH4, CO2, N20",,,,,,,0,Stayed the same,No new inventory to report,52.896,2514005,47527.32,2020,POINT (-0.16819 5.56543),5.267,Flooding,0,0
1499,Ajuntament de Barcelona,Spain,Europe,C40,2017,In progress,0,24.38,0.25,44.39,11.36,0.16,5.73,0,0.97,12.76,0.75,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",1121894,1986025,,795667,,60247,3963833,Stayed the same,Emissions have not changed,102.15,1664182,16291.55,2020,POINT (2.1775 41.3823),6.38,Increased water stress or scarcity,Current,Extremely serious
35860,City of Dallas,USA,North America,,2017,No,20,47,0.1,11,0.1,0.1,20,0,1.2,0.5,0.33,2019,2021,Yes,2015-01-01 - 2015-12-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,0,Decreased,"Other, please specify: Decreased emissions from electricity generation.  Also lower emissions from transportation",997,1345047,1349.09,2018,POINT (-96.8004 32.7801),7.155,Flooding,Medium-term,Serious
31090,District of Columbia,USA,North America,C40,2017,In progress,15.5,39.6,0.5,38.9,2,1.7,1,0,0.5,0.3,0.44,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",,3321339.41,,3189478.1,,548498.88,7059316.39,Decreased,"Other, please specify: Greening of regional electric grid",158,708253,4482.61,2019,POINT (-77.0369 38.9072),7.185,Inadequate or aging infrastructure,Long-term,Serious
31111,Tokyo Metropolitan Government,Japan,East Asia,C40,2017,Yes,20,58,2,,,,,,,20,0.2,2018,2021,Yes,2018-04-01 - 2019-03-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",5595103.11,25248922.98,,36512403.02,,13767456.85,81123885.96,Decreased,"Other, please specify: Reduction of energy consumption use. Improvement of power CO2 emission factor.",2194.05,13957977,6361.74,2021,POINT (139.41 35.41),5.989,Increased water stress or scarcity,Short-term,Serious
31155,City of Buenos Aires,Argentina,Latin America,C40,2017,No,0.33,57.7,1.77,5.92,27.49,0.41,3.73,0,0.6,2.05,0.4,2019,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, N20",6995569.07,6357309.93,,3491206.85,,2544403.07,19388488.92,Decreased,"Other, please specify: Disminución de consumo de energía",202,3068043,15188.33,2018,POINT (-58.3816 -34.6037),6.324,#N/A,#N/A,#N/A
